x,y,inferred_value,qw,max_depth,population,max_it
-73.8737994296952,40.855238931980594,78.46894409937889,3,2,10,10
-73.86257870720475,40.859818155147764,78.46894409937889,3,2,10,10
-73.84467555474389,40.846794637182875,78.46894409937889,3,2,10,10
-73.84514856691825,40.84785740976772,78.46894409937889,3,2,10,10
-73.83811524131828,40.8428439520083,78.46894409937889,3,2,10,10
-73.85074553799726,40.85519027136791,78.46894409937889,3,2,10,10
-73.83011041894693,40.86353276612653,78.46894409937889,3,2,10,10
-73.88368865984238,40.867776088493294,78.46894409937889,3,2,10,10
-73.87301148525889,40.872228442192096,78.46894409937889,3,2,10,10
-73.8623848092182,40.87095104299933,77.08547008547008,3,2,10,10
-73.87226399061589,40.88166301977791,78.46894409937889,3,2,10,10
-73.85737206008129,40.87909104920607,78.46894409937889,3,2,10,10
-73.84944524484534,40.87290092167454,78.46894409937889,3,2,10,10
-73.85501987038049,40.87019951083923,78.46894409937889,3,2,10,10
-73.83199063882789,40.871242842265566,78.46894409937889,3,2,10,10
-73.84321915763441,40.8817098840968,78.46894409937889,3,2,10,10
-73.83774759370858,40.87962946390597,78.46894409937889,3,2,10,10
-74.01077970401776,40.622255931455,78.46894409937889,4,2,10,10
-74.01408362593104,40.614865325711065,78.46894409937889,4,2,10,10
-73.995200186238975,40.61584427671771,78.46894409937889,4,2,10,10
-74.01102232371215,40.62261240379147,78.46894409937889,4,2,10,10
-73.99001531707219,40.62712771071369,78.46894409937889,4,2,10,10
-73.98844938194759,40.6271425563564,78.46894409937889,4,2,10,10
-73.98658217220382,40.613539649271026,78.46894409937889,4,2,10,10
-73.97445956193766,40.61588460303727,78.46894409937889,4,2,10,10
-73.98750127624001,40.62110975169619,78.46894409937889,4,2,10,10
-73.96915983847309,40.629200500713026,78.46894409937889,4,2,10,10
-73.99406674513541,40.642224278935124,78.46894409937889,4,2,10,10
-74.0125007393376,40.63642415357243,78.46894409937889,4,2,10,10
-73.99966778005754,40.6382503124572,78.46894409937889,4,2,10,10
-74.00864205681378,40.64747773008113,78.46894409937889,4,2,10,10
-73.99423035696078,40.64999552483676,78.46894409937889,4,2,10,10
-73.96909997752326,40.64471314967348,78.46894409937889,4,2,10,10
-73.97612624454369,40.634195974265175,78.46894409937889,4,2,10,10
-73.96730416429824,40.630770832396415,78.46894409937889,4,2,10,10
-73.99001531707219,40.6516974360414,78.46894409937889,4,2,10,10
-73.96971956406335,40.64362495498424,78.46894409937889,4,2,10,10
