x,y,inferred_value,k,qw
-73.87577101861211,40.853325573016576,74.17446079419473,100,3
-73.86465976058929,40.853325573016576,77.08547008547008,100,3
-73.8535485025665,40.853325573016576,78.46894409937889,100,3
-73.84799287355511,40.853325573016576,72.5497737556561,100,3
-73.83688161553229,40.853325573016576,72.5497737556561,100,3
-73.8813266476235,40.85751822141988,63.14468535630995,100,3
-73.87577101861211,40.85751822141988,63.14468535630995,100,3
-73.8702153896007,40.85751822141988,74.79353233830845,100,3
-73.86465976058929,40.85751822141988,76.69840312313019,100,3
-73.85910413157791,40.85751822141988,78.46894409937889,100,3
-73.8535485025665,40.85751822141988,78.46894409937889,100,3
-73.8813266476235,40.8617108698232,72.5497737556561,100,3
-73.87577101861211,40.8617108698232,63.14468535630995,100,3
-73.8702153896007,40.8617108698232,78.46894409937889,100,3
-73.86465976058929,40.8617108698232,74.79353233830845,100,3
-73.8535485025665,40.8617108698232,78.46894409937889,100,3
-73.8424372445437,40.8617108698232,74.79353233830845,100,3
-73.83132598652091,40.8617108698232,76.79650092081032,100,3
-73.8813266476235,40.8659035182265,76.79650092081032,100,3
-73.8702153896007,40.8659035182265,78.46894409937889,100,3
-73.84799287355511,40.8659035182265,77.6370522503423,100,3
-73.8424372445437,40.8659035182265,76.09166295045763,100,3
-73.83132598652091,40.8659035182265,72.5497737556561,100,3
-73.8813266476235,40.87009616662982,76.79650092081032,100,3
-73.86465976058929,40.87009616662982,77.08547008547008,100,3
-73.84799287355511,40.87009616662982,77.363173216885,100,3
-73.8424372445437,40.87009616662982,72.88307260328922,100,3
-73.83688161553229,40.87009616662982,72.88307260328922,100,3
-73.83132598652091,40.87009616662982,78.46894409937889,100,3
-73.8813266476235,40.874288815033125,78.46894409937889,100,3
-73.85910413157791,40.874288815033125,74.79353233830845,100,3
-73.8535485025665,40.874288815033125,78.46894409937889,100,3
-73.8424372445437,40.874288815033125,74.79353233830845,100,3
-73.83688161553229,40.874288815033125,72.5497737556561,100,3
-73.83132598652091,40.874288815033125,78.46894409937889,100,3
-73.8813266476235,40.87848146343643,72.5497737556561,100,3
-73.87577101861211,40.87848146343643,71.53245480287518,100,3
-73.8702153896007,40.87848146343643,77.98372168478214,100,3
-73.85910413157791,40.87848146343643,76.79650092081032,100,3
-73.8535485025665,40.87848146343643,72.5497737556561,100,3
-73.8424372445437,40.87848146343643,78.46894409937889,100,3
-73.83688161553229,40.87848146343643,78.46894409937889,100,3
-73.87577101861211,40.88267411183975,71.53245480287518,100,3
-73.8702153896007,40.88267411183975,77.98372168478214,100,3
-73.86465976058929,40.88267411183975,75.45587153714146,100,3
-73.85910413157791,40.88267411183975,76.79650092081032,100,3
-73.8535485025665,40.88267411183975,77.08547008547008,100,3
-73.84799287355511,40.88267411183975,74.79353233830845,100,3
-73.8424372445437,40.88267411183975,78.46894409937889,100,3
-73.9983487605893,40.61186727620995,78.46894409937889,100,4
-73.9927931315779,40.61186727620995,73.40781387181738,100,4
-73.9872375025665,40.61186727620995,76.95448676565525,100,4
-73.98168187355509,40.61186727620995,76.49955753992197,100,4
-73.9761262445437,40.61186727620995,76.79650092081032,100,4
-73.96501498652088,40.61186727620995,74.79353233830845,100,4
-74.0150156476235,40.61605992461327,78.46894409937889,100,4
-74.0094600186121,40.61605992461327,78.46894409937889,100,4
-74.0039043896007,40.61605992461327,75.67086607062224,100,4
-73.9983487605893,40.61605992461327,75.23793103448276,100,4
-73.9927931315779,40.61605992461327,76.79650092081032,100,4
-73.9872375025665,40.61605992461327,78.46894409937889,100,4
-73.98168187355509,40.61605992461327,77.7528735632184,100,4
-73.9761262445437,40.61605992461327,77.7528735632184,100,4
-73.9705706155323,40.61605992461327,76.79650092081032,100,4
-73.9983487605893,40.62025257301657,74.79353233830845,100,4
-73.9927931315779,40.62025257301657,71.53245480287518,100,4
-73.9872375025665,40.62025257301657,78.46894409937889,100,4
-73.98168187355509,40.62025257301657,78.46894409937889,100,4
-73.9705706155323,40.62025257301657,76.79650092081032,100,4
-74.0094600186121,40.62444522141989,77.6370522503423,100,4
-74.0039043896007,40.62444522141989,72.5497737556561,100,4
-73.9983487605893,40.62444522141989,72.5497737556561,100,4
-73.9927931315779,40.62444522141989,72.5497737556561,100,4
-73.9872375025665,40.62444522141989,72.5497737556561,100,4
-73.98168187355509,40.62444522141989,78.46894409937889,100,4
-73.96501498652088,40.62444522141989,76.79650092081032,100,4
-73.9927931315779,40.628637869823194,76.79650092081032,100,4
-73.98168187355509,40.628637869823194,73.92105263157895,100,4
-73.9705706155323,40.628637869823194,78.46894409937889,100,4
-74.0039043896007,40.632830518226505,74.79353233830845,100,4
